,,,,DEC,JUN,MAR,SEP
Xbox 360 (X360),Microsoft,Other,2014,70.00000000000028,0.0,100.00000000000054,950.0000000000002
Xbox 360 (X360),Microsoft,Other,2015,29.99999999999936,30.000000000001137,129.999999999999,9.999999999999789
Xbox 360 (X360),Microsoft,Other,2016,9.999999999999789,9.999999999999789,19.999999999999574,10.000000000001563
Xbox 360 (X360),Microsoft,Other,2017,0.0,0.0,19.999999999999574,0.0
Xbox 360 (X360),Microsoft,Other,2018,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Other,2019,0.0,0.0,0.0,0.0
Xbox 360 (X360),Microsoft,Other,2020,0.0,0.0,0.0,0.0
Xbox One (XOne),Microsoft,Europe,2013,0.0,0.0,0.0,0.0
Xbox One (XOne),Microsoft,Europe,2014,1000.0,220.00000000000009,890.0,119.99999999999989
Xbox One (XOne),Microsoft,Europe,2015,590.0000000000003,299.99999999999983,790.0,250.0
Xbox One (XOne),Microsoft,Europe,2016,520.0000000000005,469.9999999999998,950.0000000000002,389.99999999999966
Xbox One (XOne),Microsoft,Europe,2017,500.0,339.9999999999999,1040.0,350.0000000000005
